date,reason
2008-09-30,Rosh Hashana 5769
2008-10-01,Rosh Hashana II
2008-10-09,Yom Kippur
2008-10-14,Sukkot I
2008-10-15,Sukkot II
2008-10-16,Sukkot III (CH''M)
2008-10-17,Sukkot IV (CH''M)
2008-10-18,Sukkot V (CH''M)
2008-10-19,Sukkot VI (CH''M)
2008-10-20,Sukkot VII (Hoshana Raba)
2008-10-21,Shmini Atzeret
2008-10-22,Simchat Torah
2009-04-09,Pesach I
2009-04-10,Pesach II
2009-04-11,Pesach III (CH''M)
2009-04-12,Pesach IV (CH''M)
2009-04-13,Pesach V (CH''M)
2009-04-14,Pesach VI (CH''M)
2009-04-15,Pesach VII
2009-04-16,Pesach VIII
2009-05-29,Shavuot I
2009-05-30,Shavuot II
2009-09-19,Rosh Hashana 5770
2009-09-20,Rosh Hashana II
2009-09-28,Yom Kippur
2009-10-03,Sukkot I
2009-10-04,Sukkot II
2009-10-05,Sukkot III (CH''M)
2009-10-06,Sukkot IV (CH''M)
2009-10-07,Sukkot V (CH''M)
2009-10-08,Sukkot VI (CH''M)
2009-10-09,Sukkot VII (Hoshana Raba)
2009-10-10,Shmini Atzeret
2009-10-11,Simchat Torah
2010-03-30,Pesach I
2010-03-31,Pesach II
2010-04-01,Pesach III (CH''M)
2010-04-02,Pesach IV (CH''M)
2010-04-03,Pesach V (CH''M)
2010-04-04,Pesach VI (CH''M)
2010-04-05,Pesach VII
2010-04-06,Pesach VIII
2010-05-19,Shavuot I
2010-05-20,Shavuot II
2010-09-09,Rosh Hashana 5771
2010-09-10,Rosh Hashana II
2010-09-18,Yom Kippur
2010-09-23,Sukkot I
2010-09-24,Sukkot II
2010-09-25,Sukkot III (CH''M)
2010-09-26,Sukkot IV (CH''M)
2010-09-27,Sukkot V (CH''M)
2010-09-28,Sukkot VI (CH''M)
2010-09-29,Sukkot VII (Hoshana Raba)
2010-09-30,Shmini Atzeret
2010-10-01,Simchat Torah
2011-04-19,Pesach I
2011-04-20,Pesach II
2011-04-21,Pesach III (CH''M)
2011-04-22,Pesach IV (CH''M)
2011-04-23,Pesach V (CH''M)
2011-04-24,Pesach VI (CH''M)
2011-04-25,Pesach VII
2011-04-26,Pesach VIII
2011-06-08,Shavuot I
2011-06-09,Shavuot II
2011-09-29,Rosh Hashana 5772
2011-09-30,Rosh Hashana II
2011-10-08,Yom Kippur
2011-10-13,Sukkot I
2011-10-14,Sukkot II
2011-10-15,Sukkot III (CH''M)
2011-10-16,Sukkot IV (CH''M)
2011-10-17,Sukkot V (CH''M)
2011-10-18,Sukkot VI (CH''M)
2011-10-19,Sukkot VII (Hoshana Raba)
2011-10-20,Shmini Atzeret
2011-10-21,Simchat Torah
2012-04-07,Pesach I
2012-04-08,Pesach II
2012-04-09,Pesach III (CH''M)
2012-04-10,Pesach IV (CH''M)
2012-04-11,Pesach V (CH''M)
2012-04-12,Pesach VI (CH''M)
2012-04-13,Pesach VII
2012-04-14,Pesach VIII
2012-05-27,Shavuot I
2012-05-28,Shavuot II
2012-09-17,Rosh Hashana 5773
2012-09-18,Rosh Hashana II
2012-09-26,Yom Kippur
2012-10-01,Sukkot I
2012-10-02,Sukkot II
2012-10-03,Sukkot III (CH''M)
2012-10-04,Sukkot IV (CH''M)
2012-10-05,Sukkot V (CH''M)
2012-10-06,Sukkot VI (CH''M)
2012-10-07,Sukkot VII (Hoshana Raba)
2012-10-08,Shmini Atzeret
2012-10-09,Simchat Torah
2013-03-26,Pesach I
2013-03-27,Pesach II
2013-03-28,Pesach III (CH''M)
2013-03-29,Pesach IV (CH''M)
2013-03-30,Pesach V (CH''M)
2013-03-31,Pesach VI (CH''M)
2013-04-01,Pesach VII
2013-04-02,Pesach VIII
2013-05-15,Shavuot I
2013-05-16,Shavuot II
2013-09-05,Rosh Hashana 5774
2013-09-06,Rosh Hashana II
2013-09-14,Yom Kippur
2013-09-19,Sukkot I
2013-09-20,Sukkot II
2013-09-21,Sukkot III (CH''M)
2013-09-22,Sukkot IV (CH''M)
2013-09-23,Sukkot V (CH''M)
2013-09-24,Sukkot VI (CH''M)
2013-09-25,Sukkot VII (Hoshana Raba)
2013-09-26,Shmini Atzeret
2013-09-27,Simchat Torah
2014-04-15,Pesach I
2014-04-16,Pesach II
2014-04-17,Pesach III (CH''M)
2014-04-18,Pesach IV (CH''M)
2014-04-19,Pesach V (CH''M)
2014-04-20,Pesach VI (CH''M)
2014-04-21,Pesach VII
2014-04-22,Pesach VIII
2014-06-04,Shavuot I
2014-06-05,Shavuot II
2014-09-25,Rosh Hashana 5775
2014-09-26,Rosh Hashana II
2014-10-04,Yom Kippur
2014-10-09,Sukkot I
2014-10-10,Sukkot II
2014-10-11,Sukkot III (CH''M)
2014-10-12,Sukkot IV (CH''M)
2014-10-13,Sukkot V (CH''M)
2014-10-14,Sukkot VI (CH''M)
2014-10-15,Sukkot VII (Hoshana Raba)
2014-10-16,Shmini Atzeret
2014-10-17,Simchat Torah
2015-04-04,Pesach I
2015-04-05,Pesach II
2015-04-06,Pesach III (CH''M)
2015-04-07,Pesach IV (CH''M)
2015-04-08,Pesach V (CH''M)
2015-04-09,Pesach VI (CH''M)
2015-04-10,Pesach VII
2015-04-11,Pesach VIII
2015-05-24,Shavuot I
2015-05-25,Shavuot II
2015-09-14,Rosh Hashana 5776
2015-09-15,Rosh Hashana II
2015-09-23,Yom Kippur
2015-09-28,Sukkot I
2015-09-29,Sukkot II
2015-09-30,Sukkot III (CH''M)
2015-10-01,Sukkot IV (CH''M)
2015-10-02,Sukkot V (CH''M)
2015-10-03,Sukkot VI (CH''M)
2015-10-04,Sukkot VII (Hoshana Raba)
2015-10-05,Shmini Atzeret
2015-10-06,Simchat Torah
2016-04-23,Pesach I
2016-04-24,Pesach II
2016-04-25,Pesach III (CH''M)
2016-04-26,Pesach IV (CH''M)
2016-04-27,Pesach V (CH''M)
2016-04-28,Pesach VI (CH''M)
2016-04-29,Pesach VII
2016-04-30,Pesach VIII
2016-06-12,Shavuot I
2016-06-13,Shavuot II
2016-10-03,Rosh Hashana 5777
2016-10-04,Rosh Hashana II
2016-10-12,Yom Kippur
2016-10-17,Sukkot I
2016-10-18,Sukkot II
2016-10-19,Sukkot III (CH''M)
2016-10-20,Sukkot IV (CH''M)
2016-10-21,Sukkot V (CH''M)
2016-10-22,Sukkot VI (CH''M)
2016-10-23,Sukkot VII (Hoshana Raba)
2016-10-24,Shmini Atzeret
2016-10-25,Simchat Torah
2017-04-11,Pesach I
2017-04-12,Pesach II
2017-04-13,Pesach III (CH''M)
2017-04-14,Pesach IV (CH''M)
2017-04-15,Pesach V (CH''M)
2017-04-16,Pesach VI (CH''M)
2017-04-17,Pesach VII
2017-04-18,Pesach VIII
2017-05-31,Shavuot I
2017-06-01,Shavuot II
2017-09-21,Rosh Hashana 5778
2017-09-22,Rosh Hashana II
2017-09-30,Yom Kippur
2017-10-05,Sukkot I
2017-10-06,Sukkot II
2017-10-07,Sukkot III (CH''M)
2017-10-08,Sukkot IV (CH''M)
2017-10-09,Sukkot V (CH''M)
2017-10-10,Sukkot VI (CH''M)
2017-10-11,Sukkot VII (Hoshana Raba)
2017-10-12,Shmini Atzeret
2017-10-13,Simchat Torah
2018-03-31,Pesach I
2018-04-01,Pesach II
2018-04-02,Pesach III (CH''M)
2018-04-03,Pesach IV (CH''M)
2018-04-04,Pesach V (CH''M)
2018-04-05,Pesach VI (CH''M)
2018-04-06,Pesach VII
2018-04-07,Pesach VIII
2018-05-20,Shavuot I
2018-05-21,Shavuot II
2018-09-10,Rosh Hashana 5779
2018-09-11,Rosh Hashana II
2018-09-19,Yom Kippur
2018-09-24,Sukkot I
2018-09-25,Sukkot II
2018-09-26,Sukkot III (CH''M)
2018-09-27,Sukkot IV (CH''M)
2018-09-28,Sukkot V (CH''M)
2018-09-29,Sukkot VI (CH''M)
2018-09-30,Sukkot VII (Hoshana Raba)
2018-10-01,Shmini Atzeret
2018-10-02,Simchat Torah
2019-04-20,Pesach I
2019-04-21,Pesach II
2019-04-22,Pesach III (CH''M)
2019-04-23,Pesach IV (CH''M)
2019-04-24,Pesach V (CH''M)
2019-04-25,Pesach VI (CH''M)
2019-04-26,Pesach VII
2019-04-27,Pesach VIII
2019-06-09,Shavuot I
2019-06-10,Shavuot II
2019-09-30,Rosh Hashana 5780
2019-10-01,Rosh Hashana II
2019-10-09,Yom Kippur
2019-10-14,Sukkot I
2019-10-15,Sukkot II
